production_day,component_name,component_id,line,produced,output_good,scrap,scrap_imm,scrap_deco
2021-10-20,SD,13,PL20,71270,71147,789,640,149
2021-11-13,PR,15,PL04,264704,264672,832,832,0
2021-01-09,SD,13,PL25,72525,71996,792,192,600
2021-06-22,RT,21,PL05,13872,13848,288,288,0
2021-01-18,DI,19,PL53,296128,296576,352,352,0
2021-02-18,PB,25,PL55,448064,447584,1024,1024,0
2021-11-02,HO,18,PL03,45560,45360,200,200,0
2021-08-13,PR,15,PL12,124800,124432,368,368,0
2021-07-29,CL,14,PL44,298528,296896,2144,2144,0
2021-06-01,CL,14,PL45,284160,275296,6912,6912,0
2021-10-14,HO,18,PL33,132336,132432,0,0,0
2021-03-08,PW,26,PL37,812112,809856,2784,2784,0
2021-03-28,CL,14,PL44,184032,166368,12352,12352,0
2021-07-21,PB,25,PL55,450432,450208,1184,1184,0
2021-10-01,RA,17,PL35,103704,97128,6576,6576,0
2021-10-09,CA,23,PL02,229728,229968,552,552,0
2021-07-22,HO,18,PL33,66032,66000,112,112,0
2021-09-04,PRG,12,PL14,391840,390112,2016,2016,0
2021-03-06,SD,13,PL22,72376,72272,632,528,104
2021-11-01,CH,24,PL08,130966,106711,31707,7392,24315
2021-08-08,CL,14,PL44,296032,292960,2176,2176,0
2021-04-25,SD,13,PL20,76397,76186,387,176,211
2021-07-05,SB,11,PL36,8568,8568,0,0,0
2021-01-05,SD,13,PL20,66564,66244,1175,832,343
2021-03-18,SD,13,PL19,67019,66444,2248,1632,616
2021-04-10,CH,24,PL08,301254,291847,15211,5344,9867
2021-10-31,HO,18,PL33,132464,132464,0,0,0
2021-12-04,HO,18,PL30,48144,47024,1120,1120,0
2021-10-06,SB,11,PL50,256896,239520,17376,17376,0
2021-09-26,SB,11,PL50,353184,350592,3424,3424,0
2021-01-18,HO,18,PL01,65752,65752,104,104,0
2021-12-21,SD,13,PL21,74032,73541,882,368,514
2021-03-19,CA,23,PL13,84536,84496,160,160,0
2021-07-02,CA,23,PL11,235752,234360,1392,1392,0
2021-12-11,SD,13,PL19,65418,64388,1222,192,1030
2021-03-10,SD,13,PL20,76332,76068,632,368,264
2021-04-21,SD,13,PL20,67616,67393,931,720,211
2021-10-25,SD,13,PL21,63643,63478,581,368,213
2021-04-27,SD,13,PL22,65834,65090,1397,624,773
2021-04-03,HO,18,PL33,39848,39632,216,216,0
2021-12-14,HO,18,PL33,72112,71704,480,480,0
